Row,Namn,Utv. 1 år,Utv. 3 år,Utv. 5 år,Total avgift,Risk,Antal ägare ▼
56,Handelsbanken Sverige (A1 SEK),"5,65","28,93","11,81","1,05",4,29 412
57,AMF Räntefond Kort,"2,68","11,27","10,53","0,13",1,28 740
58,Swedbank Robur Räntefond Kort A,"2,56","10,36","9,85","0,13",1,28 530
59,PLUS Småbolag Sverige Index,"0,50","25,38","19,10","0,42",4,26 566
60,Nordea 1 - Emerging Sust Strs Eq BP SEK,"4,98","23,74","1,87","2,14",4,25 902
61,DNB Europa Indeks S,"12,05","43,17","79,70","0,26",4,25 338
62,JPM Emerging Markets Equity A (acc) USD,"10,02","24,32","8,08","2,18",4,24 865
63,Storebrand Global Multifactor A,"3,64","42,04","102,94","0,76",4,24 456
64,Länsförsäkringar Sverige Index,"13,92","46,45","55,52","0,22",4,24 439
65,Storebrand Obligation A SEK,"0,93","9,80","-1,28","0,21",2,24 295
66,Swedbank Robur Access Europa A,"12,42","48,85","83,58","0,28",4,23 860
67,Storebrand Sverige A SEK,"11,86","43,66","52,14","0,21",4,23 668
68,SEB Sverigefond Småbolag C/R,"-5,88","29,45","28,40","1,52",5,22 873
69,Swedbank Robur Globalfond A,"1,61","58,63","108,40","1,41",4,22 775
70,Spiltan Aktiefond Stabil,"1,04","19,21","29,59","1,72",4,22 270
71,Lannebo Räntefond Kompass A,"2,53","13,09","8,51","0,71",2,22 080
72,D&G Aktiefond,"4,92","27,29","29,50","1,46",4,21 900
73,PriorNilsson Sverige Aktiv A,"8,64","45,82","60,19","1,26",4,21 799
74,Storebrand Global Solutions A SEK,"2,76","31,17","46,11","0,77",4,21 632
75,Pareto Småbolagsfond A,"1,69","27,91","11,06","1,75",5,20 730
76,Evli Silver and Gold B,"146,28","231,29","229,98","1,07",6,20 317
77,Handelsbanken Global Småb Index (A1 SEK),"-3,28","31,22","42,48","0,67",4,20 303
78,Skandia Time Global,"10,50","113,32","152,52","1,61",4,20 002
79,Schroder ISF Glb Em Mkt Opps A Acc USD,"11,14","36,11","33,21","2,16",4,18 058
80,Handelsbanken Hälsovård Tema (A1 SEK),"-5,02","9,20","47,89","1,54",4,16 822
81,Captor Iris Bond A,"0,78","11,43","-15,36","0,52",3,16 528
82,Avanza Auto 1,"2,26","17,32","13,97","0,38",2,16 431
83,Spiltan Högräntefond,"4,86","20,75","17,61","0,75",2,16 309
84,Kvartil Investmentbolag+ Calculus A,"10,26","49,76","68,03","0,64",5,16 176
85,SEB Swedish Value Fund,"26,34","73,13","117,37","1,71",4,15 912
86,Proethos Fond,"18,36","-12,94","-24,51","0,88",4,15 665
87,Avanza Fastighet by Norhammar,"-3,89","22,36",#N/A,"1,16",5,15 451
88,Avanza Ränta Kort,"2,95",#N/A,#N/A,"0,09",1,15 424
89,Spiltan Aktiefond Småland,"-1,50","17,72","40,78","1,53",4,15 358
90,Lannebo Sverige Plus E,"19,61","47,63","78,77","1,39",4,15 318
91,PLUS Fastigheter Sverige Index,"-9,04","3,23",#N/A,"0,25",6,15 075
92,Handelsbanken Europa Index (A1 SEK),"12,47","47,12","79,70","0,28",4,14 631
93,SEB Europe Equity Fund C EUR,"11,25","44,29","69,39","1,61",4,14 579
94,PLUS Mikrobolag Sverige Index,"-1,25","-11,85","-6,92","0,45",4,14 185
